Trial;Time;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GlobalCameraPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;CombinedGazeForwardGlobal;CombinedGazePositionGlobal;GazeHitObject;GazeHitPosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
0;7/6/2023 2:33:22 PM;104531188;1000522917734870834;63824250802464;(-3.379, 1.005, 3.572);(0.044, -0.442, 0.026, 0.895);(713.556, 1.733, 179.722);(-0.790, -0.102, 0.605);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:33:22 PM;104531208;1000522917834908523;63824250802464;(-3.379, 1.005, 3.572);(0.044, -0.442, 0.026, 0.895);(713.556, 1.733, 179.722);(-0.790, -0.102, 0.605);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:33:22 PM;104531228;1000522917934943334;63824250802464;(-3.379, 1.005, 3.572);(0.044, -0.442, 0.026, 0.895);(713.556, 1.733, 179.722);(-0.790, -0.102, 0.605);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:33:22 PM;104531248;1000522918034984278;63824250802465;(-3.379, 1.005, 3.572);(0.044, -0.442, 0.026, 0.895);(713.556, 1.733, 179.722);(-0.790, -0.102, 0.605);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:33:22 PM;104531268;1000522918135022868;63824250802465;(-3.379, 1.005, 3.572);(0.044, -0.442, 0.026, 0.895);(713.556, 1.733, 179.722);(-0.790, -0.102, 0.605);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:33:22 PM;104531288;1000522918235058499;63824250802521;(-3.379, 1.005, 3.572);(0.044, -0.442, 0.026, 0.895);(713.556, 2.014, 179.722);(-0.790, -0.102, 0.605);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:33:22 PM;104531308;1000522918335101180;63824250802644;(-3.380, 1.005, 3.571);(0.044, -0.442, 0.026, 0.895);(713.555, 2.455, 179.722);(-0.790, -0.102, 0.605);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:33:22 PM;104531328;1000522918435140159;63824250802744;(-3.380, 1.005, 3.572);(0.044, -0.442, 0.026, 0.895);(713.555, 2.701, 179.722);(-0.790, -0.102, 0.605);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:33:22 PM;104531348;1000522918535176762;63824250802822;(-3.380, 1.006, 3.569);(0.044, -0.442, 0.026, 0.895);(713.555, 2.816, 179.720);(-0.790, -0.102, 0.605);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:33:22 PM;104531368;1000522918635210264;63824250802935;(-3.380, 1.006, 3.571);(0.044, -0.442, 0.026, 0.895);(713.556, 2.851, 179.721);(-0.790, -0.102, 0.605);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:33:23 PM;104531388;1000522918735250710;63824250803023;(-3.379, 1.006, 3.570);(0.044, -0.442, 0.026, 0.895);(713.556, 2.520, 179.721);(-0.790, -0.102, 0.605);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:33:23 PM;104531408;1000522918835288039;63824250803135;(-3.379, 1.006, 3.570);(0.044, -0.443, 0.026, 0.895);(713.556, 1.755, 179.721);(-0.790, -0.102, 0.604);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:33:23 PM;104531428;1000522918935322574;63824250803223;(-3.380, 1.006, 3.571);(0.044, -0.442, 0.026, 0.895);(713.555, 1.499, 179.721);(-0.790, -0.102, 0.605);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:33:23 PM;104531448;1000522919035363247;63824250803335;(-3.380, 1.007, 3.569);(0.044, -0.443, 0.026, 0.895);(713.555, 1.500, 179.719);(-0.790, -0.102, 0.604);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:33:23 PM;104531468;1000522919135401431;63824250803424;(-3.380, 1.007, 3.567);(0.044, -0.443, 0.026, 0.895);(713.555, 1.500, 179.717);(-0.790, -0.102, 0.604);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
