
3/3/2023 4:54:58 PM;Route5;5;(386.7, 1.0, 730.5);(343.3, 0.0, 570.3);(0.0, -0.7, 0.0, 0.7);(0.0, 265.0, 0.0);(283.6, 0.0, 602.5);Two;30;100;60;100;0;0;False;False;True;False;131.901;39.878;37.569;-212.173
3/3/2023 4:55:16 PM;Route6;6;(295.1, 1.0, 610.3);(221.5, 0.0, 620.9);(0.0, 0.7, 0.0, 0.7);(0.0, 90.0, 0.0);(155.8, 0.0, 618.9);Two;30;100;60;100;0;0;False;False;False;True;13.977;1.912;0.000;-177.887
3/3/2023 4:55:44 PM;Route7;7;(155.4, 1.0, 613.7);(87.0, 0.0, 575.1);(0.0, 1.0, 0.0, 0.0);(0.0, 180.0, 0.0);(63.6, 0.0, 480.3);Two;30;100;60;100;0;0;True;False;False;False;23.410;3.766;0.000;-122.721
3/3/2023 4:56:21 PM;Route8;8;(69.3, 1.0, 485.8);(178.2, 0.0, 467.4);(0.0, 1.0, 0.0, 0.0);(0.0, 180.0, 0.0);(216.9, 0.0, 495.9);Two;30;100;60;100;0;0;False;False;True;False;28.989;0.911;2.856;-45.109
3/3/2023 4:57:09 PM;Route9;9;(207.9, 1.0, 490.2);(309.0, 0.0, 467.5);(0.0, 1.0, 0.0, 0.0);(0.0, 180.0, 0.0);(274.6, 0.0, 378.7);Two;30;100;60;100;0;0;False;False;False;True;36.700;3.323;7.476;36.747
3/3/2023 4:57:41 PM;Route9_2;10;(286.1, 1.0, 379.9);(309.0, 0.0, 467.5);(0.0, 1.0, 0.0, 0.0);(0.0, 180.0, 0.0);(209.4, 0.0, 477.1);Two;30;100;60;100;0;0;False;False;True;False;26.277;3.323;3.178;95.932
3/3/2023 4:58:06 PM;Route8_2;11;(207.6, 1.0, 485.8);(178.2, 0.0, 467.4);(0.0, 1.0, 0.0, 0.0);(0.0, 180.0, 0.0);(62.7, 0.0, 486.7);Two;30;100;60;100;0;0;False;False;False;True;18.344;0.567;3.456;141.787
3/3/2023 4:58:31 PM;Route7_2;12;(69.3, 1.0, 493.1);(87.0, 0.0, 575.1);(0.0, 1.0, 0.0, 0.0);(0.0, 180.0, 0.0);(158.0, 0.0, 606.1);Two;30;100;60;100;0;0;True;False;False;False;23.367;3.633;0.000;197.355
3/3/2023 4:58:51 PM;Route6_2;13;(152.7, 1.0, 614.3);(221.5, 0.0, 620.9);(0.0, 0.7, 0.0, 0.7);(0.0, 90.0, 0.0);(311.1, 0.0, 599.5);Two;30;100;60;100;0;0;False;False;True;False;17.522;1.356;0.000;244.495
3/3/2023 4:59:14 PM;Route5_2;14;(298.7, 1.0, 603.9);(343.3, 0.0, 570.3);(0.0, -0.7, 0.0, 0.7);(0.0, 265.0, 0.0);(396.6, 0.0, 714.0);Two;30;100;60;100;0;0;False;False;False;True;19.266;0.000;4.845;292.602
3/3/2023 4:59:41 PM;Route4_2;15;(395.2, 1.0, 725.6);(372.3, 0.0, 766.7);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(305.8, 0.0, 863.1);Two;30;100;60;100;0;0;True;False;False;False;23.910;3.244;0.000;351.355
3/3/2023 5:00:03 PM;Route3_2;16;(304.5, 1.0, 850.3);(220.1, 12.6, 868.1);(0.0, 0.9, 0.0, 0.4);(0.0, 135.0, 0.0);(198.2, 0.0, 926.9);Two;30;100;60;100;0;0;False;False;True;False;19.200;4.112;0.000;392.507
3/3/2023 5:00:32 PM;Route2_2;17;(204.5, 1.0, 940.9);(273.0, 12.6, 971.3);(0.0, 0.2, 0.0, 1.0);(0.0, 20.0, 0.0);(402.4, 0.0, 934.9);Two;30;100;60;100;0;0;False;False;False;True;27.156;0.868;3.855;462.793
