Trial;Time;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GlobalCameraPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;CombinedGazeForwardGlobal;CombinedGazePositionGlobal;GazeHitObject;GazeHitPosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
0;7/6/2023 2:26:25 PM;104447979;1000522501531848625;63824250385839;(-3.379, 0.998, 3.590);(0.055, -0.446, 0.019, 0.893);(710.298, 1.600, 180.553);(-0.795, -0.115, 0.596);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:25 PM;104447999;1000522501631889714;63824250385940;(-3.379, 0.999, 3.588);(0.055, -0.446, 0.019, 0.893);(709.896, 1.600, 180.853);(-0.795, -0.115, 0.596);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:26 PM;104448019;1000522501731928044;63824250386040;(-3.379, 0.999, 3.588);(0.055, -0.446, 0.019, 0.893);(709.500, 1.600, 181.149);(-0.794, -0.115, 0.596);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:26 PM;104448039;1000522501831964028;63824250386139;(-3.379, 1.000, 3.585);(0.055, -0.446, 0.019, 0.893);(709.001, 1.600, 181.309);(-0.795, -0.115, 0.596);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:26 PM;104448059;1000522501931997308;63824250386238;(-3.379, 1.000, 3.584);(0.054, -0.446, 0.019, 0.893);(708.704, 1.600, 180.912);(-0.795, -0.114, 0.596);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:26 PM;104448079;1000522502032036616;63824250386341;(-3.379, 1.000, 3.583);(0.054, -0.446, 0.019, 0.893);(708.395, 1.600, 180.502);(-0.794, -0.114, 0.596);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:26 PM;104448099;1000522502132074383;63824250386439;(-3.379, 1.000, 3.584);(0.054, -0.446, 0.019, 0.893);(708.101, 1.600, 180.112);(-0.795, -0.114, 0.596);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:26 PM;104448119;1000522502232108275;63824250386539;(-3.379, 1.000, 3.585);(0.054, -0.446, 0.019, 0.893);(707.799, 1.579, 179.713);(-0.794, -0.114, 0.596);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:26 PM;104448139;1000522502332148429;63824250386639;(-3.379, 1.000, 3.583);(0.054, -0.446, 0.020, 0.893);(707.599, 1.501, 179.446);(-0.795, -0.114, 0.596);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:26 PM;104448159;1000522502432186249;63824250386740;(-3.379, 1.000, 3.584);(0.054, -0.446, 0.020, 0.893);(707.599, 1.500, 179.447);(-0.795, -0.114, 0.596);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:26 PM;104448179;1000522502532221302;63824250386841;(-3.379, 1.000, 3.583);(0.054, -0.446, 0.019, 0.893);(707.599, 1.500, 179.447);(-0.794, -0.114, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:26 PM;104448199;1000522502632265532;63824250386940;(-3.380, 1.000, 3.583);(0.054, -0.446, 0.020, 0.893);(707.599, 1.500, 179.447);(-0.794, -0.114, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:27 PM;104448219;1000522502732303399;63824250387041;(-3.379, 1.000, 3.585);(0.054, -0.446, 0.019, 0.893);(707.599, 1.500, 179.448);(-0.794, -0.114, 0.596);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:27 PM;104448239;1000522502832338937;63824250387141;(-3.379, 1.000, 3.586);(0.054, -0.446, 0.020, 0.893);(707.599, 1.500, 179.450);(-0.794, -0.114, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:27 PM;104448259;1000522502932380902;63824250387239;(-3.379, 0.999, 3.586);(0.054, -0.446, 0.019, 0.893);(707.599, 1.500, 179.449);(-0.794, -0.114, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:27 PM;104448279;1000522503032419601;63824250387339;(-3.379, 0.999, 3.587);(0.054, -0.445, 0.019, 0.893);(707.599, 1.500, 179.450);(-0.794, -0.114, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:27 PM;104448299;1000522503132455755;63824250387439;(-3.379, 0.999, 3.587);(0.054, -0.445, 0.019, 0.893);(707.599, 1.500, 179.450);(-0.794, -0.114, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
