Trial;Time;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GlobalCameraPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;CombinedGazeForwardGlobal;CombinedGazePositionGlobal;GazeHitObject;GazeHitPosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
0;7/6/2023 2:27:03 PM;104455517;1000522539236162988;63824250423940;(-3.380, 1.004, 3.573);(0.047, -0.443, 0.024, 0.895);(670.398, 1.925, 183.752);(-0.747, -0.106, 0.657);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:03 PM;104455537;1000522539336200320;63824250423940;(-3.380, 1.004, 3.573);(0.047, -0.443, 0.024, 0.895);(670.398, 1.925, 183.752);(-0.747, -0.106, 0.657);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:03 PM;104455557;1000522539436237556;63824250423940;(-3.380, 1.004, 3.573);(0.047, -0.443, 0.024, 0.895);(670.398, 1.925, 183.752);(-0.747, -0.106, 0.657);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:03 PM;104455577;1000522539536280931;63824250423940;(-3.380, 1.004, 3.573);(0.047, -0.443, 0.024, 0.895);(670.398, 1.925, 183.752);(-0.747, -0.106, 0.657);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:03 PM;104455597;1000522539636319044;63824250423940;(-3.380, 1.004, 3.573);(0.047, -0.443, 0.024, 0.895);(670.398, 1.925, 183.752);(-0.747, -0.106, 0.657);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:04 PM;104455617;1000522539736354330;63824250424045;(-3.379, 1.004, 3.573);(0.047, -0.443, 0.024, 0.895);(670.398, 2.348, 183.752);(-0.747, -0.106, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:04 PM;104455637;1000522539836387293;63824250424145;(-3.379, 1.004, 3.574);(0.047, -0.443, 0.024, 0.895);(670.398, 2.652, 183.752);(-0.747, -0.106, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:04 PM;104455657;1000522539936426265;63824250424245;(-3.379, 1.004, 3.574);(0.047, -0.443, 0.024, 0.895);(670.398, 2.857, 183.753);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:04 PM;104455677;1000522540036462574;63824250424346;(-3.379, 1.004, 3.575);(0.047, -0.443, 0.024, 0.895);(670.398, 2.971, 183.754);(-0.747, -0.106, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:04 PM;104455697;1000522540136496652;63824250424445;(-3.379, 1.003, 3.577);(0.047, -0.443, 0.024, 0.895);(670.398, 2.977, 183.756);(-0.747, -0.106, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:04 PM;104455717;1000522540236536806;63824250424547;(-3.379, 1.004, 3.577);(0.047, -0.443, 0.024, 0.895);(670.398, 2.896, 183.755);(-0.747, -0.106, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:04 PM;104455737;1000522540336574351;63824250424646;(-3.380, 1.004, 3.575);(0.047, -0.443, 0.024, 0.895);(670.398, 2.703, 183.754);(-0.747, -0.106, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:04 PM;104455757;1000522540436609234;63824250424746;(-3.380, 1.004, 3.574);(0.047, -0.443, 0.024, 0.895);(670.398, 2.422, 183.752);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:04 PM;104455776;1000522540531648355;63824250424846;(-3.379, 1.005, 3.573);(0.047, -0.443, 0.024, 0.895);(670.398, 1.865, 183.751);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:04 PM;104455796;1000522540631686871;63824250424941;(-3.379, 1.003, 3.577);(0.047, -0.443, 0.024, 0.895);(670.399, 1.599, 183.756);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:05 PM;104455816;1000522540731722627;63824250425039;(-3.379, 1.003, 3.577);(0.047, -0.443, 0.024, 0.895);(670.398, 1.600, 183.756);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:05 PM;104455836;1000522540831756142;63824250425137;(-3.379, 1.002, 3.580);(0.047, -0.443, 0.024, 0.895);(670.398, 1.599, 183.759);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:05 PM;104455856;1000522540931796118;63824250425238;(-3.379, 1.003, 3.579);(0.047, -0.443, 0.024, 0.895);(670.398, 1.600, 183.758);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:05 PM;104455876;1000522541031833437;63824250425339;(-3.379, 1.003, 3.579);(0.047, -0.443, 0.024, 0.895);(670.398, 1.600, 183.757);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:05 PM;104455896;1000522541131868652;63824250425440;(-3.379, 1.003, 3.579);(0.047, -0.443, 0.024, 0.895);(670.398, 1.599, 183.757);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:05 PM;104455916;1000522541231909170;63824250425540;(-3.379, 1.003, 3.578);(0.047, -0.443, 0.024, 0.895);(670.398, 1.600, 183.756);(-0.748, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:05 PM;104455936;1000522541331946961;63824250425640;(-3.379, 1.003, 3.577);(0.047, -0.443, 0.024, 0.895);(670.398, 1.600, 183.755);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:05 PM;104455956;1000522541431982175;63824250425740;(-3.379, 1.003, 3.577);(0.047, -0.443, 0.024, 0.895);(670.398, 1.600, 183.755);(-0.748, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:05 PM;104455976;1000522541532023475;63824250425839;(-3.379, 1.003, 3.577);(0.047, -0.443, 0.024, 0.895);(670.399, 1.600, 183.756);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:05 PM;104455996;1000522541632062257;63824250425941;(-3.379, 1.004, 3.577);(0.047, -0.443, 0.024, 0.895);(670.398, 1.600, 183.755);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:06 PM;104456016;1000522541732097993;63824250426040;(-3.379, 1.004, 3.576);(0.047, -0.443, 0.024, 0.895);(670.399, 1.600, 183.754);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:06 PM;104456036;1000522541832139834;63824250426140;(-3.379, 1.004, 3.575);(0.047, -0.443, 0.024, 0.895);(670.398, 1.600, 183.753);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:06 PM;104456056;1000522541932178732;63824250426240;(-3.379, 1.004, 3.575);(0.047, -0.443, 0.024, 0.895);(670.398, 1.600, 183.753);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:06 PM;104456076;1000522542032215287;63824250426341;(-3.379, 1.005, 3.573);(0.047, -0.443, 0.024, 0.895);(670.398, 1.600, 183.751);(-0.748, -0.105, 0.655);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:06 PM;104456096;1000522542132249514;63824250426441;(-3.379, 1.004, 3.575);(0.047, -0.443, 0.025, 0.895);(670.773, 1.599, 183.424);(-0.748, -0.105, 0.655);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:27:06 PM;104456116;1000522542232289586;63824250426541;(-3.379, 1.005, 3.573);(0.047, -0.443, 0.025, 0.895);(671.146, 1.600, 183.095);(-0.747, -0.105, 0.656);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
