
Time;RouteName;RouteNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;ScreenTintCue;GroundCircleCue;MiniMapGroundCircleCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RouteNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;ScreenTintCue;GroundCircleCue;MiniMapGroundCircleCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RouteNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;ScreenTintCue;GroundCircleCue;MiniMapGroundCircleCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RouteNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;ScreenTintCue;GroundCircleCue;MiniMapGroundCircleCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RouteNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;ScreenTintCue;GroundCircleCue;MiniMapGroundCircleCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
11/1/2024 11:14:56 AM;Route1;1;(29.0, 1.0, 945.0);(157.0, 0.5, 929.0);(0.0, 0.7, 0.0, -0.7);(0.0, 270.0, 0.0);(314.0, 0.0, 1007.0);Two;30;360;60;360;0;0;False;False;False;False;False;False;True;42.609;0.170;0.552;45.112
11/1/2024 11:15:42 AM;Route2;2;(314.0, 0.0, 1007.0);(375.2, 0.5, 984.8);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(559.0, 0.0, 937.8);Two;30;360;60;360;0;0;False;False;False;False;False;True;False;40.373;0.000;25.276;161.304
Time;RouteName;RouteNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;ScreenTintCue;GroundCircleCue;MiniMapGroundCircleCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RouteNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;ScreenTintCue;GroundCircleCue;MiniMapGroundCircleCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RouteNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;ScreenTintCue;GroundCircleCue;MiniMapGroundCircleCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RouteNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;ScreenTintCue;GroundCircleCue;MiniMapGroundCircleCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
Time;RouteName;RouteNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;ScreenTintCue;GroundCircleCue;MiniMapGroundCircleCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
11/1/2024 11:28:11 AM;Route1;1;(29.0, 1.0, 945.0);(157.0, 0.5, 929.0);(0.0, 0.7, 0.0, -0.7);(0.0, 270.0, 0.0);(314.0, 0.0, 1007.0);Two;30;360;60;360;0;0;False;False;False;False;False;False;True;0.000;0.625;0.866;5.723
11/1/2024 11:28:28 AM;Route2;2;(314.0, 0.0, 1007.0);(375.2, 0.5, 984.8);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(559.0, 0.0, 937.8);Two;30;360;60;360;0;0;False;False;False;False;False;True;False;10.472;0.000;0.553;17.839
11/1/2024 11:29:09 AM;Route3;3;(559.0, 0.0, 937.8);(597.0, 0.5, 864.0);(0.0, 0.7, 0.0, 0.7);(0.0, 90.0, 0.0);(664.1, 0.0, 713.8);Two;30;360;60;360;0;0;False;False;False;False;False;False;True;0.000;0.170;0.743;20.919
Time;RouteName;RouteNumber;StartPosition;ThreatPosition;ThreatOrientation(quaternion);ThreatOrientation(eulerAngles);EndPosition;Level;Red_ViewDis;Red_FOV;Yellow_ViewDis;Yellow_FOV;Green_ViewDis;Green_FOV;FOVCue;LaserCue;HighlightCue;TextCue;ScreenTintCue;GroundCircleCue;MiniMapGroundCircleCue;UsedTime;UsedTimeInRed;UsedTimeInYellow;Point
11/1/2024 11:30:10 AM;Route1;1;(29.0, 1.0, 945.0);(157.0, 0.5, 929.0);(0.0, 0.7, 0.0, -0.7);(0.0, 270.0, 0.0);(314.0, 0.0, 1007.0);Two;30;360;60;360;0;0;False;False;False;False;False;True;False;20.194;0.128;0.094;21.119
11/1/2024 11:30:28 AM;Route2;2;(314.0, 0.0, 1007.0);(375.2, 0.5, 984.8);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(559.0, 0.0, 937.8);Two;30;360;60;360;0;0;False;False;False;False;False;False;True;9.408;0.000;0.541;32.138
