
4.1;Route1;1;(382.7, 1.5, 1072.8);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.12;Route1;1;(382.7, 1.5, 1072.9);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.14;Route1;1;(382.7, 1.5, 1073.0);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.16;Route1;1;(382.7, 1.5, 1073.0);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.18;Route1;1;(382.7, 1.5, 1073.1);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.2;Route1;1;(382.7, 1.5, 1073.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.22;Route1;1;(382.7, 1.5, 1073.3);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.24;Route1;1;(382.6, 1.5, 1073.3);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.26;Route1;1;(382.6, 1.5, 1073.4);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.28;Route1;1;(382.6, 1.5, 1073.4);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.3;Route1;1;(382.6, 1.5, 1073.5);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.32;Route1;1;(382.6, 1.5, 1073.6);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.34;Route1;1;(382.6, 1.5, 1073.6);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
4.36;Route1;1;(382.6, 1.5, 1073.7);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 307.2, 357.2);
